id,text,fraud_reported
521585,"The insured is 48-year-old male, husband, working as craft-repair, with MD education. a customer for 328 months; residing in ZIP 466132; hobbies include sleeping. The vehicle was a 2004 Saab 92x. A single-vehicle collision involving a side-impact collision that resulted in major damage in Columbus, SC at 9935 4th Drive.",Y
342868,"Claims were filed totaling $5,070.00 and including injury $780.00, property $780.00, vehicle $3,510.00. The insured is 42-year-old male, other-relative, working as machine-op-inspct, with MD education. a customer for 228 months, residing in ZIP 468176, hobbies include reading. Coverage terms include coverage 250/500, a $2,000.00 deductible, an annual premium of $1,197.22, an umbrella limit of $5,000,000.00. On 2015-01-21, in Riverwood, VA at 6608 MLK Hwy, vehicle theft that resulted in minor damage.",Y
687698,"There were 3 witness(es), the police were contacted, 2 injury(ies) were reported, 3 vehicles were involved, no property damage was reported, no police report was available. The vehicle was a 2007 Dodge RAM. A multi-vehicle collision involving a rear-end collision that resulted in minor damage in Columbus, NY at 7121 Francis Lane. The insured is 29-year-old female, own-child, working as sales, with PhD education. a customer for 134 months, residing in ZIP 430632, hobbies include board-games.",N
227811,"The claim was recorded totaling $63,400.00 and including injury $6,340.00, property $6,340.00, vehicle $50,720.00. The insured is 41-year-old female, unmarried, working as armed-forces, with PhD education. a customer for 256 months, residing in ZIP 608117, hobbies include board-games. The vehicle was a 2014 Chevrolet Tahoe. Policy details include coverage 250/500, a $2,000.00 deductible, an annual premium of $1,415.74, an umbrella limit of $6,000,000.00.",Y
367455,"One vehicle was involved, no police report was available, around 8 PM, there were 1 witness(es), no property damage was reported. On 2015-02-17, in Arlington, NY at 3041 3rd Ave, vehicle theft that resulted in minor damage. A vehicle theft that resulted in minor damage in Arlington, NY at 3041 3rd Ave. The vehicle was a 2009 Accura RSX.",N
104594,"Coverage terms include coverage 250/500, a $1,000.00 deductible, an annual premium of $1,351.10, an umbrella limit of $0.00. No police report was available, around 7 PM, the fire department was contacted, no property damage was reported, no injuries were reported, 3 vehicles were involved, there were 2 witness(es). On 2015-01-02, in Arlington, SC at 8973 Washington St, multi-vehicle collision involving a rear-end collision that resulted in major damage. Reported claims were totaling $64,100.00 and including injury $6,410.00, property $6,410.00, vehicle $51,280.00.",Y
413978,"No injuries were reported, the police were contacted, no witnesses were present, 3 vehicles were involved. The claim was recorded totaling $78,650.00 and including injury $21,450.00, property $7,150.00, vehicle $50,050.00. A multi-vehicle collision involving a head-on collision that resulted in minor damage in Springfield, NY at 5846 Weaver Drive. The insured is 34-year-old male, husband, working as prof-specialty, with PhD education. a customer for 137 months, residing in ZIP 441716, hobbies include board-games.",N
429027,"A multi-vehicle collision involving a head-on collision that resulted in a total loss in Columbus, VA at 3525 3rd Hwy. Policy details include coverage 100/300, a $1,000.00 deductible, an annual premium of $1,137.03, an umbrella limit of $0.00. The insured is 37-year-old male, unmarried, working as tech-support, with Associate education. a customer for 165 months; residing in ZIP 603195; hobbies include base-jumping. The vehicle was a 2015 Audi A5.",N
485665,"A single-vehicle collision involving a head-on collision that resulted in a total loss in Arlington, WV at 4872 Rock Ridge. On 2015-01-30, in Arlington, WV at 4872 Rock Ridge, single-vehicle collision involving a head-on collision that resulted in a total loss. Around 9 pm, 1 injury(ies) were reported, one vehicle was involved, no property damage was reported, there were 1 witness(es), the police were contacted. Coverage terms include coverage 100/300, a $500.00 deductible, an annual premium of $1,442.99, an umbrella limit of $0.00.",N
636550,"A single-vehicle collision involving a rear-end collision that resulted in a total loss in Hillsdale, NC at 3066 Francis Ave. The vehicle was a 1996 Saab 92x. Coverage terms include coverage 100/300, a $500.00 deductible, an annual premium of $1,315.68, an umbrella limit of $0.00.",N
543610,"A single-vehicle collision involving a head-on collision that resulted in a total loss in Northbend, NY at 1558 1st Ridge. On 2015-01-06, in Northbend, NY at 1558 1st Ridge, single-vehicle collision involving a head-on collision that resulted in a total loss. Policy details include coverage 100/300, a $500.00 deductible, an annual premium of $1,253.12, an umbrella limit of $4,000,000.00.",N
214618,"The vehicle was a 2006 Audi A3. The insured is 61-year-old female, other-relative, working as exec-managerial, with High School education. a customer for 447 months; residing in ZIP 615561; hobbies include skydiving. Coverage terms include coverage 100/300, a $2,000.00 deductible, an annual premium of $1,137.16, an umbrella limit of $0.00. On 2015-02-15, in Springfield, SC at 5971 5th Hwy, multi-vehicle collision involving a head-on collision that resulted in major damage.",N
