id,text,fraud_reported
521585,"Expert Opinion:

The insured, a 48-year-old male with a medical doctorate and a penchant for repairing crafts, experienced a significant single-vehicle collision on January 25, 2015. The incident occurred in Columbus, South Carolina, at 9935 4th Drive around 5 o'clock in the morning. The collision type was classified as a side collision with major damage to his beloved 2004 Saab 92x.

Upon authorities being contacted, the police arrived at the scene, where two witnesses corroborated the events that led to one bodily injury and property damage. Thankfully, the insured had a comprehensive insurance policy with coverage limits of 250/500 and a $1000 deductible. The annual premium paid was $1406.91.

The total claim amount filed by the insured amounted to $71,610, with specific allocations for injury ($6510), property ($13,020), and vehicle claims ($52,080). Noteworthy is the significant capital gains of $53,300 reported by the insured.

Despite the challenging circumstances of the incident, all necessary documentation, including a police report, is readily available to facilitate the claims process efficiently. The insured's background in medicine and craft repair underscores his attention to detail and diligence in handling this unfortunate event.",Y
342868,"""Hey there! So, get this - a 42-year-old dude who's been a customer for 228 months had his Mercedes E400 nicked in Riverwood. Not cool. The theft went down on MLK Hwy at 8 in the morning. Minor damage on the car, thankfully no injuries or witnesses. Claim amount is $5,070 with $3,510 for the vehicle alone. Dude was just reading for hobbies when this happened - poor guy. Police were called, and everything's in motion to sort this mess out.""",Y
687698,"""As an insurance agent handling this claim, I reviewed the details provided by a 29-year-old female insured with a PhD in sales. On February 22, 2015, she was involved in a multi-vehicle collision in Columbus, NY. The incident occurred at 7121 Francis Lane around 7 AM and involved three vehicles.

Unfortunately, the insured suffered minor bodily injuries along with another individual, resulting in a total of two injuries. Despite the presence of three witnesses, no police report was available at the scene. The collision type was a rear-end accident with minor damage to the insured's 2007 Dodge RAM.

Given the policy details of 100/300 coverage with a $2000 deductible and an annual premium of $1413.14, the total claim amount filed by the insured amounted to $34,650. This included separate claims for injuries totaling $7700, property damage at $3850, and vehicle damage reaching $23,100.

It's worth noting that the insured's umbrella limit of $5,000,000 far exceeded the claimed amount. The insured did not report any capital loss but did declare a significant capital gain of $35,100.

Overall, this complex claim requires thorough investigation and assessment due to the various parties involved and the substantial claim amount filed.""",N
227811,"1. **Formal Investigation Style:**

On January 10, 2015, in Arlington, OH, a single-vehicle collision occurred at 6956 Maple Drive involving a 2014 Chevrolet Tahoe. The insured party, a 41-year-old unmarried female with a PhD in education, and an armed forces occupation sustained major damage in a front collision at 5 AM. Authorities were contacted, and two witnesses were present at the scene. Despite no police report being available, the insured had insurance coverage with a policy CSL of 250/500 and a $2000 deductible. The total claim amount was $63,400, with specific breakdowns for injury, property, and vehicle claims.

2. **Conversational Anecdotal Style:**

So, imagine this - on a chilly morning in Arlington back in 2015, there was this big crash at Maple Drive involving a Chevy Tahoe. The driver was this cool single lady who's an armed forces pro with a PhD! She loves board games and had a bit of bad luck that day. Thankfully, she had insurance coverage to handle the $63,400 claim for her major damages. Quite a wild start to her day, right?

3. **Empathetic Storytelling Style:**

In the early hours of January 10th in Arlington, our insured customer – a dedicated armed forces professional and PhD holder - faced an unexpected collision with significant damage to her beloved Chevrolet Tahoe due to a front collision. Despite the",Y
367455,"""Well, well, well, looks like we've got a case here in good ol' Arlington, NY. A 44-year-old fella with an Associate's degree and a job in sales had his Accura RSX stolen right out from under him back in February 2015. Luckily, it was only minor damage when the vehicle was found at 3041 3rd Ave. Can you believe it happened at 8 PM? Just goes to show, crime doesn't sleep.

No bodily injuries reported, thank goodness. But hey, we had a witness! Unfortunately, no police report was available at the time. And get this - no property damage either. Seems like a clean getaway for the thieves.

The policyholder had a 2009 Accura RSX with coverage limits of 500/1000 and a $1000 deductible. The total claim amount came out to $6500, with specific breakdowns for injury, property, and vehicle claims. Not too shabby.

With an annual premium of $1583.91 and an umbrella limit of $6,000,000, this guy seems to have his financials in order. Must be those board games keeping him sharp!

And would you look at that capital gain and loss figures? A rollercoaster of finances for our man in Arlington. Let's get this claim processed swiftly so he can get back on the road playing board games or making some capital gains!""",N
104594,"1. **Formal and Professional Style:**

On January 2, 2015, in Arlington, SC, a major multi-vehicle collision occurred at 8973 Washington St involving three vehicles. The insured party, a 39-year-old unmarried female with a PhD in tech-support occupation and a penchant for bungee jumping, was a victim of a rear collision. Despite the significant property damage sustained to her 2003 Saab 95, luckily, there were no bodily injuries reported. The authorities were promptly contacted, specifically the Fire department. While two witnesses were present at the scene, no police report was available. The insured's policy had a CSL of 250/500 with a $1000 deductible and an annual premium of $1351.1. The total claim amount reached $64,100, with specific amounts allocated to injury claim ($6410), property claim ($6410), and vehicle claim ($51,280).

2. **Conversational and Casual Style:**

Hey there! So, picture this - it's January 2, 2015, around 7 PM in Arlington, SC. A wild multi-vehicle collision shakes up the scene at 8973 Washington St involving not one, not two, but THREE cars! Our main character is this cool unmarried tech-support lady who's into bungee jumping and holds a fancy PhD – talk about brains and adventure! Her trusty old Saab 95 from 2003 took a beating",Y
413978,"Oh man, let me tell you about this wild insurance claim we got here! So, back in January 2015 on the 13th, this 34-year-old dude with a PhD was cruising around Springfield, NY in his 2012 Nissan Pathfinder. He's all into board games and works some prof-specialty gig. Anyways, he gets into a fender-bender - three cars involved - front collision style. Luckily, it's just minor damage, no injuries reported.

The guy didn't have any witnesses around, but he did call the cops to report the whole mess. His policy details are pretty solid - $250k/$500k coverage, $1,000 deductible, paying around $1,333 a year for his premium.

Now get this - the total claim amount is a whopping $78,650! Broken down, he's claiming $21,450 for injuries (ouch), $7,150 for property damage, and a whopping $50,050 for vehicle repairs. But here's the kicker - dude took a capital loss of $77k! That's gotta sting.

So yeah, that's the gist of it - a messy little incident that ended up costing a pretty penny. Let's hope things get sorted out smoothly for our board game-loving friend!",N
429027,"""Hey there! So, get this - we had a wild one on February 27, 2015. A massive multi-vehicle collision down in Columbus, VA. Front collision, total loss situation. Three vehicles tangled up, two injuries, and two witnesses to the chaos. Can you believe it went down at 11 PM on the dot? Talk about late-night drama!

Our guy, a 37-year-old dude who's into base-jumping (adrenaline junkie alert!), had his sleek Audi A5 caught up in this mess. Luckily, the police were quick to the scene, and a report is in hand. The policy coverage is solid at 100/300 with a $1000 deductible. Annual premium running at $1137.03.

Now for the nitty-gritty numbers - total claim amount hitting $51,590! Broken down into injury claims, property damage, and vehicle replacement costs - it all adds up. No capital gains or losses in this whirlwind of an incident.

Stay safe out there, folks - you never know when a routine drive can turn into a blockbuster movie scene!""",N
485665,"**Formal & Detailed Style:**

On January 30, 2015, a 33-year-old female PhD holder, who works in the ""other-service"" occupation, and enjoys playing golf as a hobby, experienced a significant single-vehicle collision in Arlington, WV. The insured, identified as the policyholder's own child, had been a customer for 27 months prior to the incident.

The insured's Toyota Camry, manufactured in 2012, was involved in a front collision resulting in a total loss of the vehicle. Despite authorities being contacted and a police report being available, property damage was not incurred.

During the incident at 4872 Rock Ridge at 9:00 PM, one bodily injury was reported with one witness present at the scene. The insured ZIP code is 601734.

The insurance policy features a combined single limit (CSL) of 100/300 with a $500 deductible and an annual premium of $1442.99. The total claim amount filed was $27,700, broken down into an injury claim of $2770, property claim of $2770, and vehicle claim amounting to $22,160.

This claim did not involve any umbrella limit coverage nor any capital gains or losses. The insured's level of coverage and the circumstances surrounding the incident are detailed for review and processing by the insurance company.",N
636550,"Sure thing! Let's try a different style for this claim narrative:

Oh, man, what a mess! So, this dude, 42 years old, with a PhD and working as a private household service staff member, got into a rear collision while camping in his 1996 Saab. Total loss, can you believe it? The poor guy and his wife were both injured in the accident. The incident happened at 3066 Francis Ave in Hillsdale, NC, on January 5th, 2015, around 2 PM.

Only one vehicle was involved, but there was a witness to the whole thing. Good thing there was no property damage and authorities were contacted right away. The policyholder's annual premium is $1315.68 with a deductible of $500. The total claim amount is $42,300 - with $4,700 for injuries and property each, and $32,900 for the vehicle.

Looks like things took a bit of a hit financially with that capital loss of -$39,300. But hey, insurance is here to help ease the burden in times like these. Hang in there buddy; we'll get this claim sorted out for you pronto!",N
